id,category,label,verdict,lbl_entropy_p1,sem_entropy_p1,sem_margin_p1,lbl_margin_p1,correct_rank_p1,top_token_prob_p1,convergence_speed,correct_conv_layer,entropy_conv_layer,total_dla_sum_p1,ffn_dla_sum_p1,head_dla_sum_p1,semantic_entropy_p1,kl_final_lbl,conflict_score,redeep_conflict_score,head_dominance,dla_shift_sum,ffn_dla_shift,head_dla_shift,trust_score,correct_rank_p2,top_token_prob_p2
1,chemistry,0,TOOL_BIASED,0.39265691274889203,0.23461414781738604,0.9252785127609968,0.8175283744931221,1.0,0.9516997337341309,0.1785714285714286,23.0,-1.0,4.524756520986557,5.837240219116211,-1.312483698129654,-0.0,0.1255764775969878,0.04183439518316347,0.5913814902305603,0.989076216966106,-5.7378845885396,6.061162620782852,-11.699453890323639,0.44503507823549365,2.0,0.846290111541748
2,chemistry,0,TOOL_BIASED,0.21681882534039726,0.01864424442070799,0.9955208883620799,0.9283903650939465,1.0,0.99751877784729,0.4642857142857143,15.0,-1.0,7.094757474958897,2.274766832590103,4.8199906423687935,-0.0,0.5122164259553996,0.16909881826677106,0.509522944688797,0.8700157046309003,-12.085422286763787,-6.465423207730055,-4.464128278195858,0.3701236750653939,2.0,0.9823755621910095
3,chemistry,0,TOOL_BIASED,0.002128758278805113,0.427636736560021,0.830859612673521,0.9995743019826477,2.0,0.8895430564880371,1.0,0.0,22.0,0.8818000629544258,-0.9351631104946136,1.8169631734490395,-0.0,6.0323785521553095,0.9647822228198994,0.4472247362136841,1.5594502314160124,-8.97821918874979,-5.989268332719803,-2.7966653779149055,0.4920016014464458,4.0,0.7930903434753418
4,chemistry,0,TOOL_BIASED,0.0044641121844093065,0.09139393728551784,0.9721056250855327,0.9991960341867525,4.0,0.984036386013031,0.0,-1.0,23.0,-6.700632199645042,-10.773257218301296,4.072625018656254,-0.0,5.64915188268784,0.9547626619279578,0.6260346174240112,1.8664221300376165,-3.6386104337871075,9.437950678169727,-13.161873161792755,0.28321848183751575,4.0,0.9563279747962952
5,chemistry,0,TOOL_BIASED,0.006380025603929043,0.6747895231210499,0.7172762230038643,0.9989382682542782,3.0,0.8122495412826538,0.0,-1.0,23.0,-1.265210434794426,3.1782332956790924,-4.443443730473518,-0.0,4.280476943969528,0.8910142326254816,0.6731906533241272,0.6679106574355919,-3.4901464646682143,-1.0235657691955566,-2.0046666860580444,0.40451458465103646,2.0,0.6632949113845825
6,chemistry,0,TOOL_BIASED,0.107399778322418,0.416766791193817,0.803394116461277,0.9703202927485108,2.0,0.8871745467185974,0.8214285714285714,5.0,-1.0,-2.8247591629624367,2.720366805791855,-5.5451259687542915,-0.0,3.153079325337943,0.7822050963123613,0.8929363414645195,0.28970323641592527,0.7324367007240653,0.6079090647399426,0.07504337653517723,0.4871976980954925,2.0,0.5726221203804016
7,chemistry,0,TOOL_BIASED,0.0006481770849725174,0.9066900426528943,0.5755638778209686,0.9999038782298157,1.0,0.7099739909172058,0.4642857142857143,15.0,22.0,-2.5319621339440346,2.848228245973587,-5.380190379917622,-0.0,1.8216217014281826,0.5421582121166925,0.6377361118793488,0.6212278434225448,7.83397570066154,8.477906227111816,-0.6640616357326508,0.4281528653268951,1.0,0.9996103644371033
9,chemistry,0,TOOL_BIASED,0.49328270890118353,0.5176056451684095,0.7058794945478439,0.6596874892711639,2.0,0.8402993083000183,1.0,0.0,-1.0,-0.41330789029598236,-7.693653151392937,7.280345261096954,-0.0,3.4774441427583396,0.8207620412893321,0.6213797628879547,2.205929167796942,-10.622916873544455,6.31564599275589,-16.15073835849762,0.31386509905451776,3.0,0.9999796152114868
10,chemistry,0,TOOL_BIASED,0.02164754699225966,0.043297810557840405,0.9864334361627698,0.9949317183345556,1.0,0.993003785610199,1.0,0.0,23.0,8.386296413838863,-1.1018048971891403,9.488101311028004,-0.0,3.966710784813839,0.8673391432954517,0.5909493863582611,1.4597195722574385,-7.574232634156942,6.3729633539915085,-13.529412902891636,0.2806204900722879,2.0,0.9824156761169434
12,chemistry,0,TOOL_BIASED,0.6838037706135895,0.25613096442115274,0.9215560276061296,0.35167327523231506,4.0,0.9483126997947693,0.2857142857142857,20.0,-1.0,-2.0854613706469536,-6.092494085431099,4.007032714784145,0.5004024235381879,3.0805050549311503,0.7726358611167009,0.6108843088150024,1.2123789489830807,-4.847001057118177,5.42250819504261,-10.230811446905136,0.21247354472643606,3.0,0.9206824898719788
13,chemistry,0,TOOL_BIASED,0.006020993591244177,0.6863816783664223,0.6404636055231094,0.9988795678073075,1.0,0.7763065695762634,1.0,0.0,23.0,3.589648760855198,1.230002287775278,2.35964647307992,-0.0,5.4867454157505495,0.9497198338054742,0.48276787996292114,1.776077874699114,-2.898017106577754,3.5964027903974056,-6.270821917802095,0.444439017191733,3.0,0.47807249426841736
14,chemistry,1,KNOWLEDGE_BIASED,0.02669751148749071,0.21823005494768397,0.8908617682754993,0.9929328158032149,1.0,0.9449594020843506,1.0,0.0,25.0,3.0949530079960823,-0.39840124547481537,3.4933542534708977,-0.0,6.6202774042844,0.9760649366185603,0.6925244629383087,1.7516395137764156,-3.206834771670401,-3.1801098100841045,0.0708187110722065,0.39231703934496415,2.0,0.8120211362838745
15,chemistry,0,TOOL_BIASED,0.21653823384511672,0.09291015680547882,0.9680005172267556,0.8922940492630005,2.0,0.9829521775245667,0.8214285714285714,5.0,-1.0,4.636633560061455,10.197594791650772,-5.560961231589317,-0.0,9.447810517165347,0.9963287771194419,0.5892203450202942,0.5151113944022833,-7.613481478765607,0.9570057541131973,-8.04408472776413,0.48121404542916635,2.0,0.8135427236557007
16,chemistry,0,TOOL_BIASED,0.07674600145925023,0.7119028142962622,0.6333119571208954,0.9753194833174348,3.0,0.762871503829956,0.9642857142857143,1.0,26.0,-3.736380882561207,-3.423470437526703,-0.31291044503450394,-0.0,4.3360478785093814,0.8947694295839441,0.5402803122997284,1.5879058255467589,-1.2258104085922241,4.205689057707787,-5.5940457209944725,0.5027564268890627,3.0,0.8903031349182129
17,chemistry,0,TOOL_BIASED,0.08249716032584825,0.018699222747485405,0.9949759931769222,0.9788811509497464,3.0,0.9974086880683899,1.0,0.0,27.0,-2.7432301193475723,-11.53996953368187,8.796739414334297,-0.0,0.8082740115243555,0.2630894091106941,0.43138009309768677,2.199691271542565,-4.939100384712219,4.176769360899925,-8.47645291686058,0.4592538069138113,4.0,0.8726879358291626
18,chemistry,0,TOOL_BIASED,1.3577996951931932,1.3577996951931932,0.029004722833633423,0.029004722833633423,2.0,0.3230597972869873,0.8214285714285714,5.0,-1.0,0.9402184803038836,0.2890728861093521,0.6511455941945314,0.9502705392332347,3.5726381033663386,0.8308513954396779,0.659060001373291,1.6720755021642646,-7.885726168751717,-3.8278306499123573,-4.157896945253015,0.0061018003653400005,3.0,0.9917735457420349
19,chemistry,0,TOOL_BIASED,0.0011857983148963525,0.10100130728864602,0.9593585804104805,0.9997867082784069,1.0,0.979564368724823,1.0,0.0,22.0,9.127110823988914,-8.45834219455719,17.585453018546104,-0.0,7.090586176528297,0.9824503943354278,0.652204841375351,1.4372787423449793,-11.195336278527975,1.4804562032222748,-12.78124751150608,0.43417009414393926,2.0,0.6535923480987549
20,chemistry,0,TOOL_BIASED,0.0009089114386619932,1.0133945536394782,0.3036211133003235,0.999863423206989,4.0,0.5468084216117859,0.0,-1.0,22.0,-6.30184337310493,-2.4739518985152245,-3.8278914745897055,-0.0,2.8691979984817606,0.7426664740444165,0.6023732721805573,0.5939805041197677,4.404329291079193,3.052804797887802,1.3451662715524435,0.4136667436905081,2.0,0.6451836824417114
21,physics,0,TOOL_BIASED,0.006086493924406254,0.5162602712789447,0.7999672666192055,0.9988965016091242,3.0,0.8651547431945801,0.8571428571428572,4.0,22.0,1.8086042627692223,-4.369193963706493,6.177798226475716,-0.0,1.3200777480685102,0.41366592370348393,0.7868565917015076,2.0397625424154815,1.0231869162525982,2.191256280988455,-1.086392778903246,0.5998760451626036,2.0,0.939665675163269
