id,category,correct_option,wrong_option,probe_correct,verdict_p2,final_answer_p2,rethink_answer,rethink_to_correct,rethink_mode,has_rethink,conflict_level,conflict_score,kl_final_lbl,trust_score,sem_margin_p1,lbl_entropy_p1,total_dla_sum_p1,rethink_ack_conflict,rethink_defers_to_tool,rethink_think_len,p2_correct,rt_correct,recovered,degraded,unchanged,verdict_rt
1,chemistry,1,2,True,TOOL_BIASED,2,,False,N/A,False,none,0.04183439518316347,0.1255764775969878,0.44503507823549365,0.9252785127609968,0.39265691274889203,4.524756520986557,False,False,0,False,False,False,False,False,NO_RETHINK
2,chemistry,1,2,True,TOOL_BIASED,2,,False,N/A,False,none,0.16909881826677106,0.5122164259553996,0.3701236750653939,0.9955208883620799,0.21681882534039726,7.094757474958897,False,False,0,False,False,False,False,False,NO_RETHINK
3,chemistry,2,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9647822228198994,6.0323785521553095,0.4920016014464458,0.830859612673521,0.002128758278805113,0.8818000629544258,False,False,0,False,False,False,False,True,TOOL_BIASED
4,chemistry,2,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9547626619279578,5.64915188268784,0.28321848183751575,0.9721056250855327,0.0044641121844093065,-6.700632199645042,False,False,0,False,False,False,False,True,TOOL_BIASED
5,chemistry,3,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.8910142326254816,4.280476943969528,0.40451458465103646,0.7172762230038643,0.006380025603929043,-1.265210434794426,False,False,0,False,False,False,False,True,TOOL_BIASED
6,chemistry,4,2,True,TOOL_BIASED,2,4,True,reasoning,True,strong,0.7822050963123613,3.153079325337943,0.4871976980954925,0.803394116461277,0.107399778322418,-2.8247591629624367,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
7,chemistry,2,1,True,TOOL_BIASED,1,2,True,reasoning,True,partial,0.5421582121166925,1.8216217014281826,0.4281528653268951,0.5755638778209686,0.0006481770849725174,-2.5319621339440346,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
8,chemistry,3,1,True,UNDETERMINED,,,False,reasoning,False,strong,0.893345236594011,4.314755103196413,0.38086763588732375,0.7893660813570023,0.0006357391714745969,2.220103781670332,False,False,0,False,False,False,False,False,NO_RETHINK
9,chemistry,4,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.8207620412893321,3.4774441427583396,0.31386509905451776,0.7058794945478439,0.49328270890118353,-0.41330789029598236,False,False,0,False,False,False,False,True,TOOL_BIASED
10,chemistry,3,1,True,TOOL_BIASED,1,3,True,reasoning,True,strong,0.8673391432954517,3.966710784813839,0.2806204900722879,0.9864334361627698,0.02164754699225966,8.386296413838863,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
11,chemistry,2,1,False,UNDETERMINED,4,4,False,reasoning,True,partial,0.3547351320342376,1.1125505387712034,0.4125753704912418,0.5320202559232712,0.953540468510833,-9.734110850840807,False,False,0,False,False,False,False,True,TOOL_BIASED
12,chemistry,3,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.7726358611167009,3.0805050549311503,0.21247354472643606,0.9215560276061296,0.6838037706135895,-2.0854613706469536,False,False,0,False,False,False,False,True,TOOL_BIASED
13,chemistry,3,1,True,TOOL_BIASED,1,3,True,reasoning,True,strong,0.9497198338054742,5.4867454157505495,0.444439017191733,0.6404636055231094,0.006020993591244177,3.589648760855198,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
14,chemistry,2,3,True,KNOWLEDGE_BIASED,2,1,False,reasoning,True,strong,0.9760649366185603,6.6202774042844,0.39231703934496415,0.8908617682754993,0.02669751148749071,3.0949530079960823,False,False,0,True,False,False,True,False,TOOL_BIASED
15,chemistry,2,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9963287771194419,9.447810517165347,0.48121404542916635,0.9680005172267556,0.21653823384511672,4.636633560061455,False,False,0,False,False,False,False,True,TOOL_BIASED
16,chemistry,3,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.8947694295839441,4.3360478785093814,0.5027564268890627,0.6333119571208954,0.07674600145925023,-3.736380882561207,False,False,0,False,False,False,False,True,TOOL_BIASED
17,chemistry,4,1,True,TOOL_BIASED,1,,False,N/A,False,none,0.2630894091106941,0.8082740115243555,0.4592538069138113,0.9949759931769222,0.08249716032584825,-2.7432301193475723,False,False,0,False,False,False,False,False,NO_RETHINK
18,chemistry,2,1,False,TOOL_BIASED,1,1,False,reasoning,True,strong,0.8308513954396779,3.5726381033663386,0.0061018003653400005,0.029004722833633423,1.3577996951931932,0.9402184803038836,False,False,0,False,False,False,False,True,TOOL_BIASED
19,chemistry,3,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9824503943354278,7.090586176528297,0.43417009414393926,0.9593585804104805,0.0011857983148963525,9.127110823988914,False,False,0,False,False,False,False,True,TOOL_BIASED
20,chemistry,2,1,True,TOOL_BIASED,1,2,True,reasoning,True,strong,0.7426664740444165,2.8691979984817606,0.4136667436905081,0.3036211133003235,0.0009089114386619932,-6.30184337310493,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
21,physics,3,1,True,TOOL_BIASED,1,1,False,reasoning,True,partial,0.41366592370348393,1.3200777480685102,0.5998760451626036,0.7999672666192055,0.006086493924406254,1.8086042627692223,False,False,0,False,False,False,False,True,TOOL_BIASED
22,physics,4,1,True,TOOL_BIASED,1,1,False,reasoning,True,partial,0.4084461583846564,1.3012344833200282,0.5085517730384447,0.20940977334976196,0.4303217947629338,-1.7214469704777002,False,False,0,False,False,False,False,True,TOOL_BIASED
23,physics,2,1,True,TOOL_BIASED,1,1,False,reasoning,True,partial,0.40185278891193266,1.277569747893348,0.512924082698135,0.5381169468164444,0.00036834507476505283,4.449297107756138,False,False,0,False,False,False,False,True,TOOL_BIASED
24,physics,3,2,True,TOOL_BIASED,2,2,False,reasoning,True,strong,0.9513324706923584,5.5368835171849415,0.5310767145746615,0.9451692514121532,0.0037025102486223423,10.791128758341074,False,False,0,False,False,False,False,True,TOOL_BIASED
25,physics,3,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.904358380077929,4.486938513478156,0.2514033027927129,0.04592442512512207,0.001131264768478563,1.7792051509022713,False,False,0,False,False,False,False,True,TOOL_BIASED
26,physics,4,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.966960794715959,6.129824987192126,0.2733812203671924,0.8424347937107086,0.033840561655910976,2.351231038570404,False,False,0,False,False,False,False,True,TOOL_BIASED
27,physics,2,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.785168763123213,3.176123189660407,0.2701426813522956,0.5767788141965866,0.0002471356895791416,3.091526724398136,False,False,0,False,False,False,False,True,TOOL_BIASED
28,physics,3,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.919000187232575,4.747669125628474,0.3743989122562177,0.016323000192642212,0.05829308661557583,-2.9040962252765894,False,False,0,False,False,False,False,True,TOOL_BIASED
29,physics,4,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.8969474253198824,4.36914294467482,0.3814876609119596,0.6936577782034874,0.007886339158080815,3.391899034380913,False,False,0,False,False,False,False,True,TOOL_BIASED
30,physics,2,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.6791904201066565,2.4828289880986416,0.5535536563655049,0.8461571708321571,0.0029905837307869273,2.9343879371881485,False,False,0,False,False,False,False,True,TOOL_BIASED
31,physics,2,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9972977638820794,9.908206208743497,0.4894360381056649,0.32243700325489044,0.11948335993408335,-1.0008451829198748,False,False,0,False,False,False,False,True,TOOL_BIASED
32,physics,3,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.8446036247724471,3.711060875466825,0.4387527316011642,0.5806312710046768,0.06795221707080501,-0.47466921154409647,False,False,0,False,False,False,False,True,TOOL_BIASED
33,physics,3,1,True,TOOL_BIASED,1,1,False,reasoning,True,partial,0.6230082874866462,2.189720203942195,0.30137204187094824,0.3151775002479553,0.0009600014827997371,1.2543957829475403,False,False,0,False,False,False,False,True,TOOL_BIASED
34,physics,4,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.8814599433713756,4.14682857899848,0.4887527702827529,0.8875202834606171,0.01623451281173277,-1.2042195945978165,False,False,0,False,False,False,False,True,TOOL_BIASED
35,physics,2,1,True,TOOL_BIASED,1,2,True,reasoning,True,strong,0.9950904456213597,9.010892227011157,0.49139892135808405,0.0,0.03937058171554319,-0.9011653307825327,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
36,physics,3,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.7525225314875335,2.936237901065395,0.29850628391936845,0.06453341245651245,0.0015307035229791886,0.8056259267032146,False,False,0,False,False,False,False,True,TOOL_BIASED
37,physics,3,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.950497357914617,5.510720446147544,0.2808907585377084,0.943074306473136,0.011735773094991972,-3.043558079749346,False,False,0,False,False,False,False,True,TOOL_BIASED
38,physics,4,1,True,TOOL_BIASED,1,1,False,reasoning,True,partial,0.5945182597489916,2.0538766436376945,0.12640211756231898,0.8258965946733952,1.1077490298485602,-0.5534924268722534,False,False,0,False,False,False,False,True,TOOL_BIASED
39,physics,2,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.824444887297528,3.5116170334537946,0.4979038319839569,0.14565518498420715,0.004582954642150205,-0.2371562197804451,False,False,0,False,False,False,False,True,TOOL_BIASED
40,physics,2,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.7309741719179085,2.792448365992097,0.5279353841136302,0.8118814714252949,0.01027547881983098,-2.7901700735092163,False,False,0,False,False,False,False,True,TOOL_BIASED
41,biology,1,4,False,UNDETERMINED,3,,False,N/A,False,none,0.1808399551648194,0.5485527164116344,0.44653175295584857,0.9070386327803135,0.9008793508348585,3.645135600119829,False,False,0,False,False,False,False,False,NO_RETHINK
42,biology,2,3,True,TOOL_BIASED,3,4,False,reasoning,True,strong,0.7289283940079863,2.7793110831142127,0.5366353847822042,0.8707254156470299,0.00026080720004010714,1.1650986736640334,False,False,0,False,False,False,False,False,TOOL_BIASED
43,biology,3,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9109363704023945,4.598996390414221,0.39389508059812284,0.0018970966339111328,0.0004901592756773004,-3.036303788423538,False,False,0,False,False,False,False,True,TOOL_BIASED
44,biology,4,2,True,TOOL_BIASED,2,2,False,reasoning,True,strong,0.9224522246075169,4.815693970959884,0.42707525164790355,0.0746271014213562,0.24015645770248079,-3.679561486467719,False,False,0,False,False,False,False,True,TOOL_BIASED
45,biology,3,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.8406445526575895,3.670100796862254,0.5204809459710512,0.9977689044317231,0.00017361112190659132,16.465087965130806,False,False,0,False,False,False,False,True,TOOL_BIASED
46,biology,4,3,True,TOOL_BIASED,3,,False,N/A,False,none,0.10557232652117327,0.3179015694994445,0.29790189739122463,0.95204265601933,0.6626439227717953,9.134942054748535,False,False,0,False,False,False,False,False,NO_RETHINK
47,biology,4,1,True,TOOL_BIASED,1,1,False,reasoning,True,partial,0.6105435638137703,2.129362507045279,0.38435313569139157,0.8923893645405769,0.1291102385599719,-3.870884656906128,False,False,0,False,False,False,False,True,TOOL_BIASED
48,biology,2,1,False,TOOL_BIASED,1,1,False,reasoning,True,strong,0.8862209649025585,4.212108507109744,0.44416506782760523,0.610966145992279,0.28408295155351315,8.741948932409286,False,False,0,False,False,False,False,True,TOOL_BIASED
49,biology,3,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.7559839733246717,2.9603261116700543,0.47138412011018893,0.9985087511013262,0.0040605422253758225,4.772732816636562,False,False,0,False,False,False,False,True,TOOL_BIASED
50,biology,4,1,True,TOOL_BIASED,1,1,False,reasoning,True,partial,0.4707463640850146,1.533086252491972,0.3213990653312844,0.10866430401802063,0.6820293673309605,0.7498875334858894,False,False,0,False,False,False,False,True,TOOL_BIASED
51,biology,3,1,True,TOOL_BIASED,1,2,False,reasoning,True,strong,0.7293609504443371,2.7820818207244775,0.31303727098816875,0.6649210900068283,0.7749628432350527,7.89265414327383,False,False,0,False,False,False,False,False,TOOL_BIASED
52,biology,4,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.833224894229174,3.595778549089111,0.2661466934552504,0.4659716784954071,0.0008998759793407362,9.770674012601376,False,False,0,False,False,False,False,True,TOOL_BIASED
53,biology,3,1,True,TOOL_BIASED,1,3,True,reasoning,True,strong,0.9065170519146734,4.522881415661575,0.40487929474188594,0.1388651430606842,0.00019766953084926462,3.4517378881573677,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
54,biology,2,1,False,UNDETERMINED,3,3,False,reasoning,True,strong,0.8029712711478547,3.320762608975699,0.16850828826438066,0.46319639682769775,0.8503576916474506,3.0169134959578514,False,False,0,False,False,False,False,True,TOOL_BIASED
55,biology,3,1,False,TOOL_BIASED,1,1,False,reasoning,True,strong,0.7892183137858666,3.2080667578427335,0.34006545889697337,0.8620256930589676,0.8002362585807088,-2.70260788500309,False,False,0,False,False,False,False,True,TOOL_BIASED
56,biology,2,1,False,UNDETERMINED,4,4,False,reasoning,True,partial,0.4187920998132816,1.338678945261815,0.44537275811019184,0.9951650900766253,0.9514813344764933,-6.650251027196646,False,False,0,False,False,False,False,True,TOOL_BIASED
57,biology,3,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9526420443341764,5.578805707863864,0.2504138239672678,0.9987087741610594,0.1914952104636793,12.974793799221516,False,False,0,False,False,False,False,True,TOOL_BIASED
58,biology,3,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9589646073846345,5.7986046333810695,0.4707476699767058,0.3311179578304291,0.00014152734569972608,-0.02246257197111845,False,False,0,False,False,False,False,True,TOOL_BIASED
59,biology,3,1,False,UNDETERMINED,,,False,reasoning,False,strong,0.7349516237838335,2.8182336725431454,0.48064622126363593,0.5383091270923615,0.21817580783191773,-3.910269994288683,False,False,0,False,False,False,False,False,NO_RETHINK
60,biology,3,1,False,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9565715410373536,5.711751066203526,0.42695864638746056,0.3478526175022125,0.4402678217044102,2.879872005432844,False,False,0,False,False,False,False,True,TOOL_BIASED
61,history,3,2,True,TOOL_BIASED,2,1,False,reasoning,True,partial,0.5049463785000233,1.6677696970203137,0.567500283021921,0.7908484861254692,0.028948176549163172,-3.288097372278571,False,False,0,False,False,False,False,False,TOOL_BIASED
62,history,1,3,True,TOOL_BIASED,3,,False,N/A,False,none,0.20117498047170487,0.6118703770057584,0.5550525914519444,0.9792081732302904,0.022125204843633922,4.028022654354572,False,False,0,False,False,False,False,False,NO_RETHINK
63,history,2,3,True,TOOL_BIASED,3,1,False,reasoning,True,strong,0.8436644807766864,3.7012589606785986,0.4997656631651941,0.22697852551937103,0.005476956506725198,-0.44359373580664396,False,False,0,False,False,False,False,False,TOOL_BIASED
64,history,3,2,True,KNOWLEDGE_BIASED,3,3,True,reasoning,True,strong,0.8599196830733987,3.8791089512819172,0.503514178393898,0.8908212073147297,0.0028274318361064987,6.332335487008095,False,False,0,True,True,False,False,True,KNOWLEDGE_BIASED
65,history,4,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9533666052922779,5.602489077113931,0.47606167839262736,0.11236736178398132,0.14029381520202752,-1.895672875456512,False,False,0,False,False,False,False,True,TOOL_BIASED
66,history,2,1,True,UNDETERMINED,,2,True,reasoning,True,strong,0.8945039390459226,4.3320580415495895,0.4848444705021783,0.8315387889742851,0.0007815940572626051,-2.657281219959259,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
67,history,3,1,False,TOOL_BIASED,1,1,False,reasoning,True,strong,0.8224494085614866,3.493021670462472,0.26537334718268485,0.466852605342865,0.005358242759924696,8.537873737514019,False,False,0,False,False,False,False,True,TOOL_BIASED
68,history,2,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.8611650271230555,3.893507920482011,0.4692383342520438,0.18541136384010315,0.0017364419776686659,-0.1979339513927698,False,False,0,False,False,False,False,True,TOOL_BIASED
69,history,3,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9049009998053219,4.495900291962293,0.25031315162774576,0.014578133821487427,0.0010926284624988513,0.8287815600633621,False,False,0,False,False,False,False,True,TOOL_BIASED
70,history,2,1,True,TOOL_BIASED,1,2,True,reasoning,True,strong,0.8910689477498173,4.281273592605686,0.49371817783215266,0.45569224655628204,0.0005101358509151206,-1.4279481917619705,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
71,history,2,1,False,TOOL_BIASED,1,1,False,reasoning,True,strong,0.972524711314937,6.41067385969911,0.4777645824523782,0.5755658894777298,0.003752577284510992,-2.509520962834358,False,False,0,False,False,False,False,True,TOOL_BIASED
72,history,3,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9376010809116606,5.153486966605009,0.5016744738332455,0.38889288902282715,0.002730512548441132,-1.2451728833839297,False,False,0,False,False,False,False,True,TOOL_BIASED
73,history,3,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.972285530605649,6.397490519190412,0.341426710704503,0.14868786931037903,0.08183936645083795,-7.195046126842499,False,False,0,False,False,False,False,True,TOOL_BIASED
74,history,2,1,True,KNOWLEDGE_BIASED,2,2,True,reasoning,True,strong,0.9056490708371097,4.508335243978759,0.4924806280722246,0.7817062214016914,0.0023880652195164653,5.183210019953549,False,False,0,True,True,False,False,True,KNOWLEDGE_BIASED
75,history,3,1,False,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9801646845997735,6.905207008851054,0.27641271857934296,0.9461102019995451,0.037151111792114416,-0.49038735777139664,False,False,0,False,False,False,False,True,TOOL_BIASED
76,history,2,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.8579196179617989,3.8562295314511768,0.40595144460452637,0.6847699880599976,0.5964809625488342,-4.786252103745937,False,False,0,False,False,False,False,True,TOOL_BIASED
77,history,3,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.8432468919279863,3.6969178547250383,0.48276888911567706,0.08638980984687805,0.00212854485020157,2.1476169638335705,False,False,0,False,False,False,False,True,TOOL_BIASED
78,history,4,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.7570081089636174,2.9675094462688643,0.2605134148014772,0.7626964822411537,0.09871363524895463,-2.009045086801052,False,False,0,False,False,False,False,True,TOOL_BIASED
79,history,2,1,True,KNOWLEDGE_BIASED,2,1,False,reasoning,True,strong,0.6746115342342365,2.457475124504983,0.3098795637701212,0.9436224065721035,0.0015160857169178596,5.020600941032171,False,False,0,True,False,False,True,False,TOOL_BIASED
80,history,3,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9138180284654421,4.650591727022387,0.49773189499561693,0.6681443601846695,0.009774926150498724,-3.4870305955410004,False,False,0,False,False,False,False,True,TOOL_BIASED
81,history,2,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9745348250721165,6.526164432488631,0.5169525581883146,0.8721934072673321,0.0027988261388843696,-4.1490344032645226,False,False,0,False,False,False,False,True,TOOL_BIASED
82,history,2,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.930069762570223,4.976719936043833,0.42437040361243117,0.8085469231009483,0.0008056648567064783,2.336342105641961,False,False,0,False,False,False,False,True,TOOL_BIASED
83,history,3,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9670988220566104,6.1362098943515235,0.27575101611053937,0.9020180329680443,0.032263945800289046,6.855077333748341,False,False,0,False,False,False,False,True,TOOL_BIASED
84,history,4,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.8766059056145324,4.0827552029891105,0.3617762226790321,0.24606433510780334,0.0958004818743363,0.7017051428556442,False,False,0,False,False,False,False,True,TOOL_BIASED
85,history,3,1,False,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9545321769302623,5.641351886389329,0.38822671746531573,0.7252078354358673,0.7473993146744089,-1.2261268086731434,False,False,0,False,False,False,False,True,TOOL_BIASED
86,geography,4,1,True,TOOL_BIASED,1,4,True,reasoning,True,partial,0.43065234931786484,1.3820918619502454,0.3260262467889294,0.13107097148895264,0.05242763497728381,2.722731649875641,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
87,geography,3,2,False,UNDETERMINED,,,False,N/A,False,none,0.003311103255468784,0.009933346067610363,0.3761778898503618,0.5227344930171967,0.23074765616470927,-3.557056799530983,False,False,0,False,False,False,False,False,NO_RETHINK
88,geography,1,2,True,TOOL_BIASED,2,,False,N/A,False,none,0.15300772223776596,0.4626564604763204,0.39219010650571384,0.9844784112647176,0.10607786961009201,4.331000305712223,False,False,0,False,False,False,False,False,NO_RETHINK
