id,category,correct_option,wrong_option,probe_correct,verdict_p2,final_answer_p2,rethink_answer,rethink_to_correct,rethink_mode,has_rethink,conflict_level,conflict_score,kl_final_lbl,trust_score,sem_margin_p1,lbl_entropy_p1,total_dla_sum_p1,rethink_ack_conflict,rethink_defers_to_tool,rethink_think_len,p2_correct,rt_correct,recovered,degraded,unchanged,verdict_rt
1,chemistry,1,2,True,TOOL_BIASED,2,1,True,reasoning,True,strong,0.9983931978907857,10.68877919910863,0.2846065366823673,0.9888517120853066,1.8146845988538638e-05,45.88866454362869,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
2,chemistry,1,2,True,TOOL_BIASED,2,1,True,reasoning,True,strong,0.9973260808630198,9.924029051541554,0.2795878961666849,0.8454814702272415,2.1928134792830415e-05,-10.733968049287796,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
3,chemistry,2,1,True,KNOWLEDGE_BIASED,2,,False,N/A,False,none,0.00016955280587941719,0.0005086584225125818,0.4605336970523994,0.7315537184476852,3.958719448117619e-05,33.13953408971429,False,False,0,True,False,False,False,False,NO_RETHINK
4,chemistry,2,1,True,TOOL_BIASED,1,2,True,reasoning,True,strong,0.972792956721171,6.425594517530008,0.5321957307296745,0.9501485750079155,1.5415108895845094e-05,-35.65512798726559,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
5,chemistry,3,1,True,TOOL_BIASED,1,3,True,reasoning,True,strong,0.9985211246026592,10.813321224082696,0.516338175382948,0.7232791930437088,8.118366367641558e-07,-3.684154227375984,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
6,chemistry,4,2,True,TOOL_BIASED,2,4,True,reasoning,True,strong,0.9402820689421092,5.221434464730096,0.5064705375654657,0.8125593736767769,4.0705502978018724e-07,-16.012640718370676,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
7,chemistry,2,1,True,TOOL_BIASED,1,2,True,reasoning,True,strong,0.9509129911583166,5.523687492746546,0.5176288647445029,0.8816321939229965,0.00010868657613246344,8.208394795656204,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
8,chemistry,3,1,True,TOOL_BIASED,1,3,True,reasoning,True,strong,0.9966797643334749,9.598807796825941,0.4274473833435912,0.5684312209486961,5.613309524405615e-06,-8.504330456256866,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
9,chemistry,4,1,True,TOOL_BIASED,1,4,True,reasoning,True,partial,0.3213339270437891,0.9994017628882087,0.44738631216487107,0.41042715311050415,0.005565151648587336,15.460860937833786,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
10,chemistry,3,1,True,TOOL_BIASED,1,3,True,reasoning,True,strong,0.8374024759910619,3.6372452788311875,0.32941006305613374,0.9936481893528253,6.025377071112053e-06,64.42960369586945,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
11,chemistry,2,1,True,KNOWLEDGE_BIASED,2,,False,N/A,False,none,0.012360407486177631,0.037083111050675674,0.6827522021763722,0.998502669215668,0.00025642143416651096,-29.9116468206048,False,False,0,True,False,False,False,False,NO_RETHINK
