Query,Tool
What is the current stock price of Google?,GetStockPrice
Buy 10 shares of Apple stock.,ExecuteTrade
Show me the historical data for Microsoft for the last year.,GetHistoricalData
Analyze the sentiment around Tesla's recent news.,AnalyzeSentiment
Calculate the total value of my investment portfolio.,CalculatePortfolioValue
What's the real-time quote for Amazon?,GetStockPrice
Sell 50 shares of NVIDIA.,ExecuteTrade
Fetch past prices for IBM from 2020 to 2022.,GetHistoricalData
What's the market sentiment for Facebook (Meta)?,AnalyzeSentiment
How much is my entire portfolio worth right now?,CalculatePortfolioValue
Current price of Netflix shares?,GetStockPrice
I want to buy 5 shares of AMD.,ExecuteTrade
Retrieve the daily closing prices for Salesforce for the last 3 months.,GetHistoricalData
Determine the investor sentiment for Disney.,AnalyzeSentiment
Compute the current financial value of my holdings.,CalculatePortfolioValue
Tell me the live trading price for Spotify.,GetStockPrice
Place an order to sell 20 shares of Coca-Cola.,ExecuteTrade
Can I get the historical volume data for Intel from January to June 2023?,GetHistoricalData
Assess the overall sentiment for Walmart.,AnalyzeSentiment
Show me my total account balance.,CalculatePortfolioValue
How much is Berkshire Hathaway stock trading for?,GetStockPrice
Purchase 100 shares of Starbucks.,ExecuteTrade
Provide historical performance data for ExxonMobil for the last 5 years.,GetHistoricalData
What's the news sentiment for Boeing?,AnalyzeSentiment
Give me an update on my portfolio's value.,CalculatePortfolioValue
What is the current trading price for GOOGL?,GetStockPrice
Buy 10 shares of Apple stock.,ExecuteTrade
Show me the historical data for Microsoft from 2022 to 2023.,GetHistoricalData
What's the overall market sentiment for Amazon?,AnalyzeSentiment
Calculate the total value of my investment portfolio.,CalculatePortfolioValue
How much is Tesla stock worth right now?,GetStockPrice
Sell 50 units of Netflix.,ExecuteTrade
Retrieve the past performance of Nvidia for the last year.,GetHistoricalData
Analyze the news sentiment for Google.,AnalyzeSentiment
What's the current worth of my holdings?,CalculatePortfolioValue
Real-time quote for IBM.,GetStockPrice
Purchase 25 shares of Intel.,ExecuteTrade
Fetch historical prices for Pfizer from 2020-01-01 to 2021-12-31.,GetHistoricalData
Give me the sentiment score for Meta Platforms.,AnalyzeSentiment
Compute the value of all my assets.,CalculatePortfolioValue
Current price of SPY?,GetStockPrice
Place an order to buy 5 shares of Berkshire Hathaway Class B.,ExecuteTrade
Show me the volume data for Walmart for the past 6 months.,GetHistoricalData
How positive or negative is the news surrounding Disney?,AnalyzeSentiment
What is my portfolio's present value?,CalculatePortfolioValue
Live price of AMD stock.,GetStockPrice
Execute a sell order for 100 shares of Boeing.,ExecuteTrade
Get price history for General Electric for the last 3 years.,GetHistoricalData
Determine the market mood for JP Morgan Chase.,AnalyzeSentiment
Display the current total value of my equities.,CalculatePortfolioValue
What is the current price of Google stock?,GetStockPrice
Purchase 50 shares of Netflix.,ExecuteTrade
Show me Apple's stock performance last month.,GetHistoricalData
What's the market sentiment for Meta Platforms?,AnalyzeSentiment
What is my current portfolio worth?,CalculatePortfolioValue
Show me the real-time quote for Microsoft.,GetStockPrice
Sell 20 units of IBM stock.,ExecuteTrade
Analyze the news sentiment for Pfizer.,AnalyzeSentiment
Show me the total value of my investments.,CalculatePortfolioValue
How much is NVIDIA trading for right now?,GetStockPrice
I want to buy 10 shares of Google.,ExecuteTrade
What was the stock price of Google over the past year?,GetHistoricalData
Is the general sentiment around Microsoft positive or negative?,AnalyzeSentiment
Compute the current worth of all my holdings.,CalculatePortfolioValue
What's the latest price for Amazon (AMZN)?,GetStockPrice
Execute a sell order for 100 shares of Microsoft.,ExecuteTrade
Retrieve historical data for Microsoft for the last 5 years.,GetHistoricalData
Get me the sentiment score for Tesla based on recent articles.,AnalyzeSentiment
How much is my entire portfolio valued at today?,CalculatePortfolioValue
Get the live price of TSLA.,GetStockPrice
Place an order to acquire 5 shares of AMD.,ExecuteTrade
How does the market feel about Amazon stock?,AnalyzeSentiment
Get the current valuation of my investment account.,CalculatePortfolioValue
What is the current price of Google stock?,GetStockPrice
Buy 50 shares of Apple.,ExecuteTrade
Show me the historical data for IBM for the last year.,GetHistoricalData
What's the market sentiment for Meta Platforms?,AnalyzeSentiment
What is my current portfolio worth?,CalculatePortfolioValue
Show me the real-time quote for Microsoft.,GetStockPrice
Sell 100 shares of Microsoft.,ExecuteTrade
Fetch the price trend for Coca-Cola from January to March 2023.,GetHistoricalData
Analyze the news sentiment for PayPal.,AnalyzeSentiment
Calculate the total value of my investments.,CalculatePortfolioValue
How much is Amazon trading at right now?,GetStockPrice
Please purchase 20 units of Tesla.,ExecuteTrade
What was the performance of Disney stock over the past 6 months?,GetHistoricalData
Determine the public mood surrounding Johnson & Johnson.,AnalyzeSentiment
Show me the current financial value of my account.,CalculatePortfolioValue
What's the latest price for Netflix shares?,GetStockPrice
Liquidate my 15 shares of Google.,ExecuteTrade
Retrieve the historical volume data for ExxonMobil for the last quarter.,GetHistoricalData
Give me the sentiment score for Oracle based on recent articles.,AnalyzeSentiment
Compute the worth of all my assets.,CalculatePortfolioValue
Give me the current value of NVDA.,GetStockPrice
Place a sell order for 5 shares of AMD.,ExecuteTrade
Can I see the stock chart for Boeing for the past 5 years?,GetHistoricalData
How is the market feeling about Walmart?,AnalyzeSentiment
What's the total value of my holdings right now?,CalculatePortfolioValue
What is the current price of Tesla stock?,GetStockPrice
Buy 10 shares of Apple.,ExecuteTrade
Show me the historical data for Microsoft from 2020 to 2023.,GetHistoricalData
What's the market sentiment for Google?,AnalyzeSentiment
Calculate my total portfolio value.,CalculatePortfolioValue
How much is Amazon (AMZN) trading for right now?,GetStockPrice
Sell 50 units of NVIDIA.,ExecuteTrade
Get me the past 6 months' stock prices for Coca-Cola (KO).,GetHistoricalData
Analyze the recent news sentiment for Boeing (BA).,AnalyzeSentiment
What is the current worth of my investments?,CalculatePortfolioValue
Retrieve the real-time quote for IBM.,GetStockPrice
Purchase 20 shares of Disney (DIS).,ExecuteTrade
I need the trading volume for Facebook (META) last quarter.,GetHistoricalData
Determine the overall sentiment for Pfizer (PFE).,AnalyzeSentiment
Compute the current value of all my holdings.,CalculatePortfolioValue
What's the live price of Netflix (NFLX)?,GetStockPrice
Place a sell order for 100 shares of General Electric (GE).,ExecuteTrade
Fetch the daily closing prices for Apple (AAPL) for the entire year of 2021.,GetHistoricalData
Is the sentiment around Starbucks (SBUX) positive or negative?,AnalyzeSentiment
Give me an update on my total account value.,CalculatePortfolioValue
Show me the current stock price of AMD.,GetStockPrice
Execute a buy order for 5 shares of Costco (COST).,ExecuteTrade
Provide historical performance data for Johnson & Johnson (JNJ) over the last 5 years.,GetHistoricalData
What is the current public opinion on Tesla's stock performance?,AnalyzeSentiment
How much is my entire investment portfolio valued at?,CalculatePortfolioValue
What is the current stock price of Apple?,GetStockPrice
Buy 100 shares of Google.,ExecuteTrade
Show me the historical data for Microsoft from 2022 to 2023.,GetHistoricalData
What's the current market sentiment for Tesla?,AnalyzeSentiment
Calculate the total value of my investment portfolio.,CalculatePortfolioValue
How much is Amazon stock trading for right now?,GetStockPrice
Sell 50 units of NVIDIA.,ExecuteTrade
Provide the past performance data for IBM for the last six months.,GetHistoricalData
Analyze the recent news articles for Netflix sentiment.,AnalyzeSentiment
What is the current worth of all my assets?,CalculatePortfolioValue
Tell me the live price of Facebook stock.,GetStockPrice
Purchase 25 shares of AMD.,ExecuteTrade
Get the closing prices for Coca-Cola from January to March this year.,GetHistoricalData
Is the general sentiment towards Spotify positive or negative?,AnalyzeSentiment
Compute the value of my entire stock holdings.,CalculatePortfolioValue
What's the real-time quote for Pfizer?,GetStockPrice
Execute a sell order for 10 shares of Intel.,ExecuteTrade
Fetch the historical stock prices for Oracle for the entire last year.,GetHistoricalData
Determine the sentiment score for General Motors.,AnalyzeSentiment
Show me the total value of my investment account.,CalculatePortfolioValue
Current value of Disney stock?,GetStockPrice
Place an order to buy 75 shares of Starbucks.,ExecuteTrade
Give me the daily price and volume data for Boeing for the last quarter.,GetHistoricalData
Perform a sentiment analysis on recent reports about Chevron.,AnalyzeSentiment
What is my total portfolio valuation right now?,CalculatePortfolioValue
What's the current stock price of Apple?,GetStockPrice
How much is Google stock right now?,GetStockPrice
Tell me the live quote for Microsoft.,GetStockPrice
Current price for Tesla (TSLA)?,GetStockPrice
What's the real-time value of Amazon stock?,GetStockPrice
Buy 100 shares of NVIDIA.,ExecuteTrade
Sell 50 units of Coca-Cola (KO).,ExecuteTrade
Place a buy order for 20 shares of Netflix.,ExecuteTrade
Execute a sell for 10 shares of JPMorgan Chase.,ExecuteTrade
Purchase 5 shares of Berkshire Hathaway.,ExecuteTrade
Show me the historical prices for IBM from January 2022 to December 2022.,GetHistoricalData
Get past data for ExxonMobil (XOM) for the last three months.,GetHistoricalData
What was the trading volume for Disney (DIS) in Q3 2023?,GetHistoricalData
Fetch stock price history for Pfizer for the year 2020.,GetHistoricalData
Provide past stock data for Intel for the first half of last year.,GetHistoricalData
What's the market sentiment for Meta Platforms?,AnalyzeSentiment
Analyze the current news sentiment for Starbucks.,AnalyzeSentiment
Is the overall sentiment positive or negative for Procter & Gamble?,AnalyzeSentiment
Determine the sentiment score for Johnson & Johnson.,AnalyzeSentiment
Give me the aggregate market feeling about Visa.,AnalyzeSentiment
What is the total current value of my investment portfolio?,CalculatePortfolioValue
Calculate the worth of all my holdings.,CalculatePortfolioValue
Show me my account's current financial standing.,CalculatePortfolioValue
How much is my entire asset portfolio valued at right now?,CalculatePortfolioValue
Compute the total current value of my equities and assets.,CalculatePortfolioValue
What is the current price of Apple stock?,GetStockPrice
Buy 10 shares of Google.,ExecuteTrade
Show me the historical data for Microsoft from 2021 to 2022.,GetHistoricalData
Analyze the market sentiment for Tesla.,AnalyzeSentiment
What is the current value of my portfolio?,CalculatePortfolioValue
How much is Amazon stock trading for right now?,GetStockPrice
Sell 50 shares of Netflix.,ExecuteTrade
Get me the past performance of Nvidia for the last 6 months.,GetHistoricalData
Is the news sentiment around AMD positive or negative?,AnalyzeSentiment
Compute the total worth of my assets.,CalculatePortfolioValue
Retrieve the real-time quote for Coca-Cola.,GetStockPrice
I want to purchase 25 shares of Intel.,ExecuteTrade
Provide historical prices for Disney for the entire year of 2020.,GetHistoricalData
Determine the overall sentiment score for Boeing.,AnalyzeSentiment
Show me my total account value.,CalculatePortfolioValue
What's the latest price for Facebook (Meta Platforms)?,GetStockPrice
Place an order to sell 15 units of Starbucks.,ExecuteTrade
Can I see the historical volume data for Nike from January 2023 to March 2023?,GetHistoricalData
What's the market sentiment for JPMorgan Chase based on recent articles?,AnalyzeSentiment
Calculate the current financial value of all my holdings.,CalculatePortfolioValue
Give me the live stock price of Walmart.,GetStockPrice
Execute a buy order for 5 shares of Adobe.,ExecuteTrade
Fetch the historical closing prices for Oracle for the last year.,GetHistoricalData
Aggregate and score recent news for Verizon.,AnalyzeSentiment
How much is my entire investment portfolio worth at this moment?,CalculatePortfolioValue
What is the current price of Apple stock?,GetStockPrice
Buy 20 shares of Google.,ExecuteTrade
Show me the historical data for Tesla from 2021 to 2022.,GetHistoricalData
Analyze the market sentiment for Microsoft.,AnalyzeSentiment
What is the current value of my investment portfolio?,CalculatePortfolioValue
Get me the real-time quote for Amazon.,GetStockPrice
Sell 50 shares of Netflix.,ExecuteTrade
Fetch past prices for NVIDIA for the last 6 months.,GetHistoricalData
Determine the sentiment around Meta Platforms.,AnalyzeSentiment
